model_or_area,classification,reason,migration_required,backfill_required,generator_impact,service_api_impact,mcp_impact,test_impact,rag_impact
AlarmType,SEMANTIC_CLARIFICATION,"Retain catalog but formalize allowed source level; device type; correlation family; parent-child semantics.",maybe,no,"catalog and scenario weights","validation; correlation; root cause","Network alarm search metadata additive","catalog compatibility and topology validators","alarm catalog sources may need versioned refresh"
Alarm,FIELD_OR_CONSTRAINT_CHANGE,"Keep structured source and raw payload; add causal link/source identity if needed; preserve clear lifecycle.",yes,"nullable CausalEvent link; legacy state mapping","causal scenario generation replaces equal-count loop","correlation; root cause; alarm detail","Network outputs additive causal evidence","model time/source constraints; generator causality; contracts","operational alarm docs may need new source versions"
Incident,FIELD_OR_CONSTRAINT_CHANGE,"Formal incident must be distinct from correlation candidate and carry causal link/assessment state.",yes,"nullable CausalEvent link; legacy incidents preserved","create only qualifying causal events","incident/root-cause views","Network result fields additive","lifecycle and causal-chain invariants","incident procedure documentation refresh"
IncidentAlarm,FIELD_OR_CONSTRAINT_CHANGE,"Current role is useful but lacks durable correlation evidence and dominant causal identity.",yes,"existing links retained; causal role backfill only where safe","generated from each scenario chain rather than positional slices","correlation/root cause evidence","Network correlation/root-cause responses","role; temporal/topology; no unrelated positional link tests","alarm correlation guide refresh"
Outage,SEMANTIC_CLARIFICATION,"Preserve operational interruption record; add verification state only after contract decision; do not equate it with verified customer impact.",maybe,"legacy_unverified/default state","scenario outcome drives creation; no-impact does not create outage","duration; impact; compensation gate","Network/Customer/Compensation additive fields","legacy Maltepe preserved; verified/no-impact cases","outage and compensation source documents may need versioned refresh"
OperationalEvent,FIELD_OR_CONSTRAINT_CHANGE,"Operational notes/recovery/maintenance need common causal chain identity.",yes,"nullable causal link","events emitted from same scenario timeline","timeline/evidence queries","Network detail evidence additive","sequence and recovery invariants","procedure corpus refresh"
QualityMeasurement,FIELD_OR_CONSTRAINT_CHANGE,"Measurements can be anomaly evidence and must relate to causal chain/time.",yes,"nullable causal link if retained per measurement","anomaly progression scenarios","root cause/degradation scoring","No direct tool change initially","metric temporal ordering and source compatibility","technical guide refresh if user-facing"
NetworkDevice,SEMANTIC_CLARIFICATION,"Keep multi-infrastructure device model; GPON roles and inventory metadata require stricter generator/validator semantics.",maybe,no,"OLT/aggregation/BNG hierarchy and realistic counts","topology traversal uses same model","Network topology output unchanged initially","device role/hierarchy validators","no immediate change"
NetworkLink,SEMANTIC_CLARIFICATION,"Directional upstream/uplink semantics are central to delayed downstream correlation.",maybe,no,"explicit protected and upstream relationships","topology/root cause/path diversity","Network topology/correlation remains contract-compatible","directed traversal and shared-link tests","no immediate change"
NetworkPort,FIELD_OR_CONSTRAINT_CHANGE,"PON port versus DSL/Ethernet port role needs explicit compatibility and inventory constraints.",yes,"existing ports classified where deterministic","GPON PON-port scenario generation","impact source resolution","Network device detail additive fields","PON/DSL/Metro source validators","technical topology corpus refresh"
FailureDomain and memberships,FIELD_OR_CONSTRAINT_CHANGE,"Shared cable/power/site risk must be queryable for causal correlation; existing device/link memberships are currently empty.",yes,"populate deterministic legacy/multi-city memberships only with validated mapping","site/power/fiber/distribution domain generation","correlation/path diversity/root cause","Network evidence additive","membership consistency and shared-risk cases","failure-domain procedure references"
SubscriptionConnection,SEMANTIC_CLARIFICATION,"Retain primary/backup temporal assignment; it is the correct physical service identity for impact/session joins.",maybe,no,"scenario links and backup diversity data","impact/session resolver","Customer impact response gains breakdown later","backup/hitless/validity tests","no immediate change"
CustomerImpactService,SERVICE_ONLY_CHANGE,"Current result is topology-derived potential impact; introduce explicit potential/verified assessment flow without deleting current response.",no,no,"uses generated CausalEvent/assessment/session data","new resolver and aggregate views","Network/Customer outputs additive","potential versus verified and no-impact tests","compensation/RAG evidence wording refresh"
CustomerImpactAssessment,NEW_MODEL_OR_RELATION_REQUIRED,"Connection-level potential and verified state; session evidence and reason codes need durable audit.",yes,"no unsafe automatic legacy verified backfill; legacy only potential or unverified","seed from each causal scenario","impact; outage aggregate; compensation eligibility","new fields/tools only after backend contract phase","subset; evidence; temporal and privacy tests","DecisionEvidence and procedure corpus update"
SessionEvent,NEW_MODEL_OR_RELATION_REQUIRED,"Session start/continue/stop and raw payload are absent; required for verified impact.",yes,no,"new deterministic session timeline tied to scenario and connection","session evidence resolver","future controlled history/detail surface","ordering; late/missing; masking; backup tests","operations/procedure corpus update"
CompensationEvaluation,SEMANTIC_CLARIFICATION,"Do not change formulas now; add verified impact/causal assessment evidence only when policy contract is ready.",maybe,"no recalculation of historical baseline without explicit version","new GPON scenarios may create separate evaluations","eligibility precondition/evidence","Compensation output additive","Maltepe amount regression preserved","rule/compensation documents versioned if policy changes"
DecisionEvidence,FIELD_OR_CONSTRAINT_CHANGE,"Needs causal event; potential/verified assessment and session evidence summary/hash while retaining deterministic formula trace.",yes,"new schema version; legacy evidence immutable","evidence created from causal scenario result","evidence creation/query","Rule/Compensation evidence fields additive","evidence hash/schema compatibility tests","RAG explanation docs refresh"
