current_alarm_code,proposed_alarm_code_or_name,decision,rationale,technology,source_level,device_types,root_cause_candidate,symptom_or_child,direct_outage,session_verification_required,parent_child_relationships,gpon_priority,open_question
BNG_UNREACHABLE,BNG_UNREACHABLE,REVISE,"Keep as upper-layer root candidate; require downstream correlation and session evidence.",fiber;gpon;xdsl;metro,device,BNG,yes,yes,no,yes,"parent of aggregation/access symptoms; may be unrelated to some downstream alarms",medium,"Real source mapping and affected branch scope"
METRO_AGG_UNREACHABLE,METRO_AGG_UNREACHABLE,REVISE,"Keep transport root candidate; distinguish device reachability from a single uplink failure.",fiber;gpon;xdsl;metro,device,metro_aggregation,yes,yes,no,yes,"parent of downstream OLT/DSLAM/access symptoms",high,"Aggregation hierarchy and maintenance suppression"
OLT_UNREACHABLE,OLT_UNREACHABLE,REVISE,"GPON primary root candidate; validate OLT device and downstream PON scope.",gpon,device,OLT,yes,yes,no,yes,"parent of PON_PORT_DOWN; ONT_DISCONNECT_SURGE; optical symptoms",high,"Whether reachability alarm is device or management-plane only"
DSLAM_UNREACHABLE,DSLAM_UNREACHABLE,KEEP,"Valid xDSL device-root alarm under the common model.",xdsl,device,DSLAM,yes,yes,no,yes,"parent of DSL_PORT_DOWN and line symptoms",medium,"Real source/clear semantics"
ACCESS_NODE_UNREACHABLE,ACCESS_NODE_UNREACHABLE,REVISE,"Retain for dedicated/access-node topology; clarify overlap with OLT/DSLAM types.",fiber;metro,device,access_node,yes,yes,no,yes,"parent of DEDICATED_PORT_DOWN and line symptoms",medium,"Whether generic access node should be split by technology"
UPLINK_DOWN,UPLINK_DOWN,REVISE,"Keep as link-root candidate with directional upstream/downstream correlation.",fiber;gpon;xdsl;metro,link,"metro_aggregation;OLT;DSLAM;BNG",yes,yes,no,yes,"parent of downstream device reachability and quality alarms",high,"Link ownership and protected-path semantics"
FIBER_CUT_SUSPECTED,FIBER_CUT_SUSPECTED,REVISE,"Keep as suspected route/failure-domain root, not a confirmed cut.",fiber;gpon;metro,failure_domain;link,"OLT;metro_aggregation;access_node",yes,yes,no,yes,"parent of optical loss and distribution-cable symptoms",high,"Evidence needed to promote suspected to confirmed"
LINK_PACKET_LOSS_HIGH,LINK_PACKET_LOSS_HIGH,KEEP,"Quality signal; correlate with SLA and telemetry before assigning root cause.",fiber;gpon;metro,link,"metro_aggregation;OLT;BNG",no,yes,no,yes,"supporting child of uplink/resource degradation",medium,"Threshold source and measurement window"
LINK_FLAPPING,LINK_FLAPPING,REVISE,"Keep intermittent transport event; model recurrence and recovery sequence.",fiber;gpon;xdsl;metro,link,"metro_aggregation;OLT;DSLAM;BNG",yes,yes,no,yes,"may parent short child reachability alarms",medium,"Flap threshold and dedup window"
BACKUP_LINK_UNAVAILABLE,BACKUP_LINK_UNAVAILABLE,KEEP,"Protection-loss event; no outage unless primary also fails or session drops.",fiber;gpon;xdsl;metro,link;subscription_connection,"metro_aggregation;OLT;DSLAM;BNG",no,yes,no,yes,"supporting for failed failover",medium,"Path diversity and shared-risk evidence"
PON_PORT_DOWN,PON_PORT_DOWN,REVISE,"GPON primary port-root alarm; enforce OLT PON port source.",gpon,port,OLT,yes,yes,no,yes,"parent of ONT disconnect and line optical-loss symptoms",high,"PON port inventory/card/slot mapping"
OPTICAL_SIGNAL_LOW,OPTICAL_SIGNAL_LOW,REVISE,"Keep degradation signal; avoid treating it as immediate outage.",gpon;fiber,line,"OLT;access_node",no,yes,no,yes,"child/supporting for fiber or PON problems",high,"ONT versus line source normalization"
OPTICAL_SIGNAL_LOSS,OPTICAL_SIGNAL_LOSS,REVISE,"Keep as strong access symptom/root candidate depending shared scope.",gpon;fiber,line,"OLT;access_node",yes,yes,no,yes,"child of distribution/fiber/PON root or single-line root",high,"When shared optical loss can be promoted to root"
ONT_DISCONNECT_SURGE,ONT_DISCONNECT_SURGE,REVISE,"Keep as PON-port symptom cluster; scope by affected ONT/line count.",gpon,port,OLT,yes,yes,no,yes,"child of PON_PORT_DOWN; OLT; distribution cable",high,"Source counter and surge threshold"
PON_CAPACITY_THRESHOLD,PON_CAPACITY_THRESHOLD,KEEP,"Capacity early-warning; normally no direct customer outage.",gpon,port,OLT,no,yes,no,yes,"supporting for congestion/degradation event",high,"Capacity percent/window and subscriber count"
DSL_PORT_DOWN,DSL_PORT_DOWN,KEEP,"Keep xDSL port-root alarm under source compatibility validation.",xdsl,port,DSLAM,yes,yes,no,yes,"parent of DSL line/session symptoms",medium,"Port-to-line mapping completeness"
DSL_LINE_QUALITY_DEGRADED,DSL_LINE_QUALITY_DEGRADED,KEEP,"Keep degradation signal distinct from outage.",xdsl,line,DSLAM,no,yes,no,yes,"supporting for DSL retrain/intermittent event",medium,"Quality metric thresholds"
DSL_RETRAIN_FREQUENT,DSL_RETRAIN_FREQUENT,KEEP,"Keep intermittent quality symptom; correlate by line/time.",xdsl,line,DSLAM,no,yes,no,yes,"child/supporting for DSL port or quality root",medium,"Retrain count/window"
DSLAM_PORT_SATURATION,DSLAM_PORT_SATURATION,KEEP,"Capacity early-warning; no direct outage claim.",xdsl,device,DSLAM,no,yes,no,yes,"supporting for capacity/degradation",medium,"Utilization telemetry source"
DEDICATED_PORT_DOWN,DEDICATED_PORT_DOWN,KEEP,"Keep Metro/dedicated access port failure.",metro;fiber,port,access_node,yes,yes,no,yes,"may parent SLA/service symptoms",medium,"Dedicated port device taxonomy"
SLA_LATENCY_BREACH,SLA_LATENCY_BREACH,KEEP,"Keep service-level degradation evidence; not full outage.",metro,subscription_connection,"access_node;metro_aggregation",no,yes,no,yes,"child/supporting for transport/resource event",low,"Measurement source and contractual threshold"
SLA_PACKET_LOSS_BREACH,SLA_PACKET_LOSS_BREACH,KEEP,"Keep service-level degradation evidence; not full outage.",metro,subscription_connection,"access_node;metro_aggregation",no,yes,no,yes,"child/supporting for link packet loss/resource event",low,"Measurement source and contractual threshold"
PRIMARY_PATH_DOWN,PRIMARY_PATH_DOWN,REVISE,"Keep protection event; classify hitless/short/degraded/failed with session evidence.",fiber;gpon;xdsl;metro,subscription_connection,"all access types",yes,yes,no,yes,"parent/supporting of failover result",medium,"How source exposes primary path failure"
FAILOVER_UNSUCCESSFUL,FAILOVER_UNSUCCESSFUL,KEEP,"Strong failed-protection root; verified impact still needs session evidence.",fiber;gpon;xdsl;metro,subscription_connection,"all access types",yes,yes,no,yes,"child of PRIMARY_PATH_DOWN or shared-risk root",medium,"Failover state machine and transition duration"
COMMERCIAL_POWER_LOSS,COMMERCIAL_POWER_LOSS,REVISE,"Keep failure-domain/site root; correlate affected equipment hierarchy.",fiber;gpon;xdsl;metro,failure_domain,"OLT;DSLAM;metro_aggregation;access_node",yes,yes,no,yes,"parent of device unreachable and environmental children",high,"Site/power domain mapping"
BACKUP_POWER_DEGRADED,BACKUP_POWER_DEGRADED,KEEP,"Protection/early-warning state; not direct outage.",fiber;gpon;xdsl;metro,failure_domain,"OLT;DSLAM;metro_aggregation;access_node",no,yes,no,yes,"supporting for commercial power loss",medium,"Battery telemetry and escalation rule"
HIGH_TEMPERATURE,HIGH_TEMPERATURE,REVISE,"Keep anomaly/root candidate; require temporal progression before service impact.",fiber;gpon;xdsl;metro,device;failure_domain,"OLT;DSLAM;metro_aggregation;access_node;BNG",yes,yes,no,yes,"parent/supporting for cooling/resource/quality alarms",high,"Threshold, sensor quality and duration"
COOLING_FAILURE,COOLING_FAILURE,REVISE,"Keep environmental root/supporting alarm; correlate with temperature progression.",fiber;gpon;xdsl;metro,device;failure_domain,"OLT;DSLAM;metro_aggregation;access_node;BNG",yes,yes,no,yes,"parent of high temperature or co-root depending order",high,"Whether cooling or temperature is first source"
DEVICE_RESOURCE_HIGH,DEVICE_RESOURCE_HIGH,KEEP,"Keep early degradation signal; not direct outage.",fiber;gpon;xdsl;metro,device,"OLT;DSLAM;metro_aggregation;access_node;BNG",no,yes,no,yes,"supporting after temperature/cooling or load event",medium,"CPU/memory/resource metric semantics"
BANDWIDTH_UTIL_HIGH,BANDWIDTH_UTIL_HIGH,KEEP,"Keep capacity signal; correlate with link/SLA degradation.",fiber;gpon;xdsl;metro,link;device,"OLT;DSLAM;metro_aggregation;access_node;BNG",no,yes,no,yes,"supporting for packet loss/latency/capacity event",medium,"Utilization direction and interval"
,DISTRIBUTION_CABLE_DOWN,ADD_NEW_RELATED_ALARM,"Observed meeting concept; normalize as distribution fiber/segment failure after source mapping.",gpon;fiber,access_segment;failure_domain;link,"OLT;access_node",yes,yes,no,yes,"parent of optical loss; ONT surge; PON symptoms",high,"Exact source system field and whether cable is an inventory resource"
